name,brand,category,subcategory,price,originalPrice,size,imageUrl,rating,reviewCount,url
EAU SPLENDIDE,CHANEL,Parfum,Eau de parfum,168.00,,100 ml,https://media.douglas.nl/medias/diyfeq1224701-0-dgl-NL.jpg?grid=true,5,4,https://www.douglas.nl/nl/p/5011740171?variant=1224701
Your Turn Eau de Parfum,eilish Billie Eilish,Parfum,Eau de parfum,70.30,88.99,100 ml,https://media.douglas.nl/medias/mLzV5S1225112-0-global.png?grid=true,5,26,https://www.douglas.nl/nl/p/5011735016?variant=1225112
Agua Mistica,Sol de Janeiro,Parfum,Lichaamsspray,19.74,24.99,90 ml,https://media.douglas.nl/medias/D7rdq41226089-0-global.jpg?grid=true,4.5,22,https://www.douglas.nl/nl/p/5011739120
Dança Mística,Sol de Janeiro,Parfum,Lichaamsspray,19.74,24.99,90 ml,https://media.douglas.nl/medias/TAEiyo1226088-0-global.jpg?grid=true,4.3,14,https://www.douglas.nl/nl/p/5011742052
La vie est belle,Lancôme,Parfum,Eau de parfum,61.99,89.00,30 ml,https://media.douglas.nl/medias/VPpMd7695162-0-dgl-NL.png?grid=true,4.7,672,https://www.douglas.nl/nl/p/3000056790
EAU DE PARFUM VAPORISATEUR,CHANEL,Parfum,Eau de parfum,168.00,,100 ml,https://media.douglas.nl/medias/aTkcfc103896-0-dgl-NL.jpg?grid=true,4.8,451,https://www.douglas.nl/nl/p/1000722295?variant=103896
Cheirosa 62 Mist,Sol de Janeiro,Parfum,Lichaamsspray,30.02,38.00,240 ml,https://media.douglas.nl/medias/jx36AV1000702-0-global.jpg?grid=true,4.6,1056,https://www.douglas.nl/nl/p/5010554132?variant=1000702
Stronger With You Intensely Eau de Parfum,Armani,Parfum,Eau de parfum,84.51,130.02,100 ml,https://media.douglas.nl/medias/LMWKnj063552-0-global.jpg?grid=true,4.9,165,https://www.douglas.nl/nl/p/3001052351?variant=063552
St. Barts Hair & Body Mist,Ouai,Parfum,Haarparfum,35.39,,97 ml,https://media.douglas.nl/medias/rdvwCi1183692-0-global.jpg?grid=true,4.6,107,https://www.douglas.nl/nl/p/5011503040
Refillable,Yves Saint Laurent,Parfum,Eau de parfum,90.37,139.03,50 ml,https://media.douglas.nl/medias/1wITzJ289690-0-global.jpg?grid=true,4.8,626,https://www.douglas.nl/nl/p/5000005003?variant=289690
Eau de Parfum,DIOR,Parfum,Eau de parfum,118.89,150.50,100 ml,https://media.douglas.nl/medias/lEaQEr995602-0-dgl-NL.png?grid=true,4.8,384,https://www.douglas.nl/nl/p/3001042193?variant=995602
by Billie Eilish,eilish Billie Eilish,Parfum,Eau de parfum,61.61,77.99,100 ml,https://media.douglas.nl/medias/Ev1RWg1056360-0-global.jpg?grid=true,4.6,432,https://www.douglas.nl/nl/p/5010582336?variant=1056360
Khamrah,Lattafa,Parfum,Eau de parfum,37.76,47.81,100 ml,https://media.douglas.nl/medias/nu2OcU1191657-0-global.jpg?grid=true,4.7,40,https://www.douglas.nl/nl/p/5011503015
68 Beija Flor™ Perfume Mist,Sol de Janeiro,Parfum,Lichaamsspray,30.02,38.00,240 ml,https://media.douglas.nl/medias/EDLWzT476603-0-global.jpg?grid=true,4.6,809,https://www.douglas.nl/nl/p/5010671005?variant=476603
Intense Eau de Parfum Refillable,Prada,Parfum,Eau de parfum,105.00,153.03,50 ml,https://media.douglas.nl/medias/ebZzAn1117098-0-dgl-NL.jpg?grid=true,4.7,288,https://www.douglas.nl/nl/p/5011045004?variant=1117098
Eau de Parfum,Zadig&Voltaire,Parfum,Eau de parfum,85.06,127.00,100 ml,https://media.douglas.nl/medias/gFKqBY932451-0-dgl-NL.jpg?grid=true,4.7,316,https://www.douglas.nl/nl/p/3001030841?variant=932451
Cheirosa '40 Mist,Sol de Janeiro,Parfum,Lichaamsspray,30.02,38.00,240 ml,https://media.douglas.nl/medias/D6ERdq491747-0-dgl-NL.jpg?grid=true,4.7,784,https://www.douglas.nl/nl/p/5009976017?variant=491747
EAU DE PARFUM VAPORISATEUR,CHANEL,Parfum,Eau de parfum,144.00,,100 ml,https://media.douglas.nl/medias/hHIiU8819601-0-dgl-NL.jpg?grid=true,4.8,199,https://www.douglas.nl/nl/p/3001004983?variant=819601
Black Opium,Yves Saint Laurent,Parfum,Eau de parfum,58.51,90.02,30 ml,https://media.douglas.nl/medias/HuIEeU818762-0-global.jpg?grid=true,4.7,372,https://www.douglas.nl/nl/p/3001005867
