name,brand,brand_line,internal_code,internal_code2,ean,top_category,type,price,was_price,discount_percentage,size,availability,description,image_url,rating,review_count,source,scraped_at,url
Eau De Parfum - Navulbaar Damesparfum,ARMANI,My Way,BP_1090394,,,PARFUM,Eau de parfum,"€ 60,99","€ 90,00",32.23,30 ML,AVAILABLE,L'OREAL BELGILUX N.V.,https://www.iciparisxl.nl/medias/prd-front-1090394-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MjU3Mzh8aW1hZ2UvanBlZ3xhRFk0TDJobE1pOHhNVEEzT0RVeU1qWXpOREkzTUM5d2NtUXRabkp2Ym5RdE1UQTVNRE01TkY4eU1ERjRNakF4TG1wd1p3fGVmOTk1MDhkYmEzNWZiM2NhMDJhMzYwMDAxNmU0ZGJjMTc1NmRlMjhkYWIwNDNmZDI3ZThkNDM3MmFiYzNlODc,4.93,670,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/armani/my-way/eau-de-parfum-navulbaar-damesparfum/p/BP_1090394
EAU DE PARFUM,RABANNE,FAME,BP_1173052,,,PARFUM,Eau de parfum,"€ 59,52","€ 74,40",20,30 ML,AVAILABLE,PUIG BELUX,https://www.iciparisxl.nl/medias/prd-front-1173052-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTE3MjN8aW1hZ2UvanBlZ3xhREl3TDJnMk9TOHhNVFV4TkRBeE9ETTVPREl6T0M5d2NtUXRabkp2Ym5RdE1URTNNekExTWw4eU1ERjRNakF4TG1wd1p3fDEwNzhjZjg1YTY3ZDJlMjE3NTUxYzE1NmE4MjUyOWM0YTQ5NjVhOWI5YjU2ZGE5ZWE4N2M4YzA4NmM2NDA2OGE,4.94,625,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/rabanne/fame/eau-de-parfum/p/BP_1173052
EAU DE PARFUM ZONDER ALCOHOL,DIOR,J'ADORE PARFUM D'EAU,BP_1177392,,,PARFUM,Eau de parfum,"€ 70,60","€ 88,25",20,30 ML,AVAILABLE,DIOR CHRISTIAN S.A.,https://www.iciparisxl.nl/medias/prd-front-1177392-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8NzA4OHxpbWFnZS9qcGVnfGFHRmhMMmhoTWk4eE1EUTVOalEwT0RBek5qZzVOQzl3Y21RdFpuSnZiblF0TVRFM056TTVNbDh5TURGNE1qQXhMbXB3Wnd8ODAxMjY3ZGZjZTM4YmJhNTE0MjgxNGE1MDRlYTZhMGMxNmRjMzMxMzQ5ODQwZmI2NzZmZTBlYWIwMWY1OTRmNA,4.92,608,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/dior/jadore-parfum-deau/eau-de-parfum-zonder-alcohol/p/BP_1177392
Rose N'Roses,DIOR,MISS DIOR,BP_1061680,,,PARFUM,Eau de parfum,"€ 62,84","€ 78,55",20,30 ML,AVAILABLE,DIOR CHRISTIAN S.A.,https://www.iciparisxl.nl/medias/prd-front-1061680-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTc4MzF8aW1hZ2UvanBlZ3xhR0l5TDJoak5DOHhNVFF5TXpBMU16SXhOemd5TWk5d2NtUXRabkp2Ym5RdE1UQTJNVFk0TUY4eU1ERjRNakF4TG1wd1p3fDYyN2FhN2EzMTQxYmQwNjM0OWZhMDUzM2U0MzQ0YmJlM2NlOTYyMmIzMTE0NDNkMDIxZTNhMDM0YTQ1MWY5YTU,4.95,567,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/dior/miss-dior/rose-nroses/p/BP_1061680
EAU DE PARFUM NECTAR,LANCÔME,IDOLE,BP_1166456,,,PARFUM,Eau de parfum,"€ 100,00","€ 125,00",20,50 ML,AVAILABLE,L'OREAL BELGILUX N.V.,https://www.iciparisxl.nl/medias/prd-front-1166456-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MjczMzR8aW1hZ2UvanBlZ3xhRE5sTDJoallTOHhNRE16T1RjMU1qWTNNek14TUM5d2NtUXRabkp2Ym5RdE1URTJOalExTmw4eU1ERjRNakF4TG1wd1p3fDk2Njk2NDRhNWVhNTkwYjMwYjkwNTQ1OGMwYzY0MTFiYjJlNzgwMDBmNDUwODRkMDZmYWQ3OGQ3OWNjNjQwMWM,4.93,517,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/lancome/idole/eau-de-parfum-nectar/p/BP_1166456
Parfum,DIOR,MISS DIOR,BP_1290596,,,PARFUM,Eau de parfum,"€ 74,04","€ 92,55",20,35 ML,AVAILABLE,DIOR CHRISTIAN S.A.,https://www.iciparisxl.nl/medias/prd-front-1290596-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MjQxNTR8aW1hZ2UvanBlZ3xhRGRqTDJnd05TOHhNVFF5TXpBM01qSXlNekkyTWk5d2NtUXRabkp2Ym5RdE1USTVNRFU1Tmw4eU1ERjRNakF4TG1wd1p3fGJlYzJiNDFhNzJkYmQ3OTRhYjQzNzNkOGEzZDcwODc3MTVlZTY4YWZmNzhhMDA5ZTQwNzYwNTNjZjgxNmI2Y2Y,4.94,470,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/dior/miss-dior/parfum/p/BP_1290596
Miss Dior  Eau de Parfum,DIOR,MISS DIOR,BP_1134172,,,PARFUM,Eau de parfum,"€ 70,60","€ 88,25",20,30 ML,AVAILABLE,DIOR CHRISTIAN S.A.,https://www.iciparisxl.nl/medias/prd-front-1134172-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MjM3MzB8aW1hZ2UvanBlZ3xhREE0TDJnM01pOHhNVFF5TXpBMk16QTBPREl5TWk5d2NtUXRabkp2Ym5RdE1URXpOREUzTWw4eU1ERjRNakF4TG1wd1p3fDU0NDY4NTMzMjI1MWZmMWVhMTE2MzNmOTFhYWNkOTRiNmE2YmU0YTgzZWFhYmY0ODUxNThmMjMwY2RjYzkzNGI,4.96,452,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/dior/miss-dior/miss-dior-eau-de-parfum/p/BP_1134172
Eau De Parfum - Navulbaar Dames Parfum,PRADA,Paradoxe,BP_1176076,,,PARFUM,Eau de parfum,"€ 77,60","€ 97,00",20,30 ML,AVAILABLE,L'OREAL BELGILUX N.V.,https://www.iciparisxl.nl/medias/prd-front-1176076-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTExNjh8aW1hZ2UvanBlZ3xhR0UyTDJoaE9TOHhNVEUzTmpreE16UTJPVFEzTUM5d2NtUXRabkp2Ym5RdE1URTNOakEzTmw4eU1ERjRNakF4TG1wd1p3fDY3OGMyMjk0NGRkMTU5YTMwNjI3MmU1YzA5MmU3NTg0NTI4ZDVhMDk1MDk4NTU5YTc2YTI3ZmY4MmYyYThlZmM,4.87,443,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/prada/paradoxe/eau-de-parfum-navulbaar-dames-parfum/p/BP_1176076
Eau De Parfum - Navulbaar Parfum,MUGLER,Alien Goddess,BP_1136083,,,PARFUM,Eau de parfum,"€ 84,00","€ 105,00",20,30 ML,AVAILABLE,L'OREAL BELGILUX N.V.,https://www.iciparisxl.nl/medias/prd-front-1136083-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MjM3NTF8aW1hZ2UvanBlZ3xhRFUwTDJoa1pTOHhNVEE0TURjMU1UYzBNekF3Tmk5d2NtUXRabkp2Ym5RdE1URXpOakE0TTE4eU1ERjRNakF4TG1wd1p3fDMxMDZmOGM0ZDQ3ZmVmMzI5OWJmZGI4Y2U4MzE5M2NmYmYxNGVjOTZmZjdhYThkOTM2YTU2NjU5N2U1NWNhN2U,4.92,434,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/mugler/alien-goddess/eau-de-parfum-navulbaar-parfum/p/BP_1136083
EAU DE TOILETTE,DIOR,MISS DIOR BLOOMING BOUQUET,BP_1193254,,,PARFUM,Eau de parfum,"€ 62,84","€ 78,55",20,30 ML,AVAILABLE,DIOR CHRISTIAN S.A.,https://www.iciparisxl.nl/medias/prd-front-1193254-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTg0Njl8aW1hZ2UvanBlZ3xhREZrTDJoa09TOHhNVFF5TXpBMk5qUTFOakE1TkM5d2NtUXRabkp2Ym5RdE1URTVNekkxTkY4eU1ERjRNakF4TG1wd1p3fGQzMTQxODk5MDY2ZmI0YzI0Y2UzNWVkMTI5YWZmMGE2MmZiNmQ2Nzk2NjUwZDcxNTgxM2I0NjQxOGUwZDY5Nzc,4.91,412,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/dior/miss-dior-blooming-bouquet/eau-de-toilette/p/BP_1193254
PARFUM MET BLOEMENNOTEN,DIOR,J'ADORE L'OR,BP_1262925,,,PARFUM,Eau de parfum,"€ 111,92","€ 139,90",20,35 ML,AVAILABLE,DIOR CHRISTIAN S.A.,https://www.iciparisxl.nl/medias/prd-front-1262925-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTYzNDV8aW1hZ2UvanBlZ3xhR1kzTDJnd1pDOHhNVEkyTlRBME56azFNelF6T0M5d2NtUXRabkp2Ym5RdE1USTJNamt5TlY4eU1ERjRNakF4TG1wd1p3fDMzYTA4NWI3MWJkNTExNzJkNzFmNWQxZDlkZWU1YTMyY2RmZTFlNmU3YWZlNmQ4N2RhODA3NDBlZTdkZDhlZmQ,4.92,359,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/dior/jadore-lor/parfum-met-bloemennoten/p/BP_1262925
Eau De Parfum - Navulbaar Dames Parfum,LANCÔME,Idôle,BP_1036732,,,PARFUM,Eau de parfum,"€ 46,99","€ 79,00",40.52,25 ML,AVAILABLE,L'OREAL BELGILUX N.V.,https://www.iciparisxl.nl/medias/prd-front-1036732-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MjAwMzB8aW1hZ2UvanBlZ3xhREZqTDJnMlpDOHhNVFkwTWpVd09UWXlNek15Tmk5d2NtUXRabkp2Ym5RdE1UQXpOamN6TWw4eU1ERjRNakF4TG1wd1p3fGIwN2I0NjAzNzk2MGEzOTQxNTgxNmFlNjRhOGNhNzQwMjJjZmRiOWMzYWQ3MWI2Y2U5MzFlMDNhMWJjYjNkM2U,4.96,350,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/lancome/idole/eau-de-parfum-navulbaar-dames-parfum/p/BP_1036732
EAU DE PARFUM,YVES SAINT LAURENT,LIBRE LE PARFUM,BP_1175208,,,PARFUM,Eau de parfum,"€ 93,60","€ 117,00",20,30 ML,AVAILABLE,L'OREAL BELGILUX N.V.,https://www.iciparisxl.nl/medias/prd-front-1175208-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MjM5MjN8aW1hZ2UvanBlZ3xhRGs0TDJnM015ODVPREEzTWpreE5qRXpNakUwTDNCeVpDMW1jbTl1ZEMweE1UYzFNakE0WHpJd01YZ3lNREV1YW5Cbnw1NDhkODg3MjJiNTY1MmIzMTNkY2RlOTE1NTFmMGFlYTY4NDM3Yjg2YTE2NTQ2NDAzZDUxMDA3NjVhZmFlMmQx,4.89,339,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/yves-saint-laurent/libre-le-parfum/eau-de-parfum/p/BP_1175208
EAU DE PARFUM,GUCCI,FLORA GORGEOUS MAGNOLIA,BP_1254525,,,PARFUM,Eau de parfum,"€ 64,80","€ 81,00",20,30 ML,AVAILABLE,COTY BELGIUM NV LUX,https://www.iciparisxl.nl/medias/prd-front-1254525-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MjgwNDJ8aW1hZ2UvanBlZ3xhREV4TDJnMFppOHhNVGMzTkRZME5UWXdNREk0Tmk5d2NtUXRabkp2Ym5RdE1USTFORFV5TlY4eU1ERjRNakF4TG1wd1p3fGRjNGUyYzQxYTgwYmEyZTRiYmQzMjdhMGJjMWM0ZTI4MjVlM2ViYjAxMThkOWYzZGFkNDgwOWZjYmNhMzZlYzE,4.98,324,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/gucci/flora-gorgeous-magnolia/eau-de-parfum/p/BP_1254525
Eau de Parfum,GUCCI,Flora Gorgeous Orchid,BP_1324812,,,PARFUM,Eau de parfum,"€ 64,80","€ 81,00",20,30 ML,AVAILABLE,COTY BELGIUM NV LUX,https://www.iciparisxl.nl/medias/prd-front-1324812-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MjkxNjN8aW1hZ2UvanBlZ3xhR014TDJneE15OHhNVGMzTkRZMU9UQXpOVEUyTmk5d2NtUXRabkp2Ym5RdE1UTXlORGd4TWw4eU1ERjRNakF4TG1wd1p3fDdjODM3MTczYjUyODFhZGM2MDk2NjA1NGI1ZjhjMjZkZGIxMTVlZjY5MTVmYTNhMmFmMmIwZGE3NjA1NGNlY2M,4.96,294,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/gucci/flora-gorgeous-orchid/eau-de-parfum/p/BP_1324812
EAU DE PARFUM SPRAY,MARC JACOBS,DAISY EVER SO FRESH,BP_1172751,,,PARFUM,Eau de parfum,"€ 64,00","€ 80,00",20,30 ML,AVAILABLE,COTY BELGIUM NV LUX,https://www.iciparisxl.nl/medias/prd-front-1172751-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MjIyNDl8aW1hZ2UvanBlZ3xhR1ExTDJoaU9TODVOemN3T1RNME5EWTROak00TDNCeVpDMW1jbTl1ZEMweE1UY3lOelV4WHpJd01YZ3lNREV1YW5CbnwwNGI1OWNjMzc2NjE1ZjQxNTRlOTMwNDg0MTZmYzU1Zjc3OWI3MTA3MDIwODc3OGQ5NzAyNDBjZThhZmYzYzEw,4.91,255,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/marc-jacobs/daisy-ever-so-fresh/eau-de-parfum-spray/p/BP_1172751
J'adore Eau de parfum infinissime,DIOR,J'ADORE,BP_1089988,,,PARFUM,Eau de parfum,"€ 74,04","€ 92,55",20,30 ML,AVAILABLE,DIOR CHRISTIAN S.A.,https://www.iciparisxl.nl/medias/prd-front-1089988-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8NDQxNXxpbWFnZS9qcGVnfGFHRTFMMmhqWWk4eE1EZzJOelk1TWpFM05UTTVNQzl3Y21RdFpuSnZiblF0TVRBNE9UazRPRjh5TURGNE1qQXhMbXB3Wnd8Y2ZlYzVjMTU0YmMzOGUxYzk4Yzk3NjUwODI5ZTUwM2Q5MmY0YjMyY2E4NmFiNjMxYTdjYWNkOTljNjU2YzY1OQ,4.95,253,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/dior/jadore/jadore-eau-de-parfum-infinissime/p/BP_1089988
Eau De Parfum - Navulbaar Damesparfum,YVES SAINT LAURENT,Libre,BP_1041219,,,PARFUM,Eau de parfum,"€ 77,60","€ 97,00",20,30 ML,AVAILABLE,L'OREAL BELGILUX N.V.,https://www.iciparisxl.nl/medias/prd-front-1041219-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MjYwMjZ8aW1hZ2UvanBlZ3xhRGhsTDJnM1ppOHhNVEEzT0RVeU1UZzBOemd6T0M5d2NtUXRabkp2Ym5RdE1UQTBNVEl4T1Y4eU1ERjRNakF4TG1wd1p3fDE5ZDhmZGViN2VlNzA0ZWIzNjJhOWU0MmFiMzMwMWFkZTJkNDY1OTNlZWQ2NzFiZjZiMjhhMDQxYjBmYzNmMGQ,4.93,242,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/yves-saint-laurent/libre/eau-de-parfum-navulbaar-damesparfum/p/BP_1041219
Intense,CHLOÉ,L´Eau de Parfum,BP_1325463,,,PARFUM,Eau de parfum,"€ 69,60","€ 87,00",20,30 ML,AVAILABLE,COTY BELGIUM NV LUX,https://www.iciparisxl.nl/medias/prd-front-1325463-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTk0Nzl8aW1hZ2UvanBlZ3xhR0prTDJoaU1pOHhNVEUxTVRReU5UTTNNakU1TUM5d2NtUXRabkp2Ym5RdE1UTXlOVFEyTTE4eU1ERjRNakF4TG1wd1p3fDVkMjJlM2I2MTgwNDAxNmI0M2U0OThkMjBlYjg2Mjk4YTcxMTE5ZjdlODlhOTJjYTM4OTIyOWNiZTFhZmFiYzQ,4.9,242,iciparisxl.nl,1753097951,https://www.iciparisxl.nl/chloe/leau-de-parfum/intense/p/BP_1325463
